request_time,wait_time,pick_index,drop_index,order_distance,order_fare,n_riders
28800,180,237,236,1609.0,6.0,1
28800,480,161,48,1432.0,10.0,1
28801,180,164,170,644.0,4.0,1
28802,300,79,88,6904.0,15.0,1
28802,480,161,164,1802.0,8.0,1
28802,300,74,41,1674.0,6.0,1
28802,420,143,236,3541.0,14.0,1
28802,300,233,140,2736.0,8.0,1
28803,480,151,166,1690.0,6.0,1
28804,300,48,236,3685.0,14.0,1
28805,360,74,43,1625.0,6.0,1
28805,480,186,238,6920.0,18.0,1
28805,300,229,162,756.0,4.0,1
28806,240,186,229,3042.0,12.0,1
28806,360,170,161,1416.0,7.0,1
28806,180,100,229,1770.0,8.0,1
28806,240,116,152,644.0,4.0,1
28807,180,237,263,1255.0,6.0,1
28807,180,163,142,1448.0,6.0,1
28807,420,233,161,1432.0,5.0,1
28808,420,143,163,1851.0,7.0,1
28808,240,50,230,1625.0,8.0,1
28808,360,238,164,6019.0,17.0,1
28808,180,100,237,2414.0,10.0,1
28808,480,230,88,9463.0,20.0,1
28809,360,246,231,4377.0,12.0,1
28809,420,113,87,4216.0,12.0,1
28809,480,141,161,1996.0,8.0,1
28810,240,100,237,2768.0,13.0,1
28810,360,170,144,4184.0,11.0,1
28810,180,137,234,1609.0,7.0,1
28810,360,75,237,2897.0,8.0,1
28810,420,237,87,10171.0,23.0,1
28810,480,141,68,5150.0,22.0,1
28811,480,231,170,5423.0,14.0,1
28813,360,50,230,1336.0,6.0,1
28813,300,140,233,3975.0,10.0,1
28813,360,140,237,2559.0,10.0,1
28813,420,43,236,3058.0,10.0,1
28814,300,164,231,4828.0,14.0,1
28815,180,151,244,7435.0,17.0,1
28815,480,229,43,4506.0,18.0,1
28815,420,243,75,8369.0,22.0,1
28815,180,107,161,3653.0,16.0,1
28817,420,263,166,4361.0,15.0,1
28817,480,162,107,3074.0,12.0,1
28817,360,142,161,2317.0,8.0,1
28818,240,230,186,885.0,5.0,1
28818,240,79,140,4715.0,12.0,1
28818,480,90,246,1448.0,6.0,1
28818,300,163,162,1561.0,10.0,1
28818,180,186,50,2044.0,12.0,1
28818,240,140,74,4184.0,10.0,1
